Tipo;X;Y;Z;A;B;C
CORE;719.98;-406.662;-238.634;4.7368;0.3148;-0.874
CORE;360.281;-384.349;-235.597;-175.428;0.3148;-0.874
CORE;537.55;-19.95;-519.59;-0.9136;0.3;-1.17
X;X;X;X;X;X;X
CORE;716.035;-405.979;-240.746;-5.0556;0.0024;-0.0024
CORE;361.39;-384.444;-237.683;176.149;0.0024;-0.0024
